Title,URL,Abstract,Year
Existence of Electromagnetic-Hydrodynamic Waves,https://www.nature.com/articles/150405d0,"IF a conducting liquid is placed in a constant magnetic field, every motion of the liquid gives rise to anE. M. F. which produces electric currents. Owing to the magnetic field, these currents give mechanical forces which change the state of motion of the liquid. Thus a kind of combined electromagnetic-hydro-dynamic wave is produced which, so far as I know, has as yet attracted no attention.",1942
Combining ultrahigh index with exceptional nonlinearity in resonant transition metal dichalcogenide nanodisks,https://www.nature.com/articles/s41566-024-01444-9,"Second-order nonlinearity in solids gives rise to a plethora of unique physical phenomena ranging from piezoelectricity and optical rectification to optical parametric amplification, spontaneous parametric down-conversion and the generation of entangled photon pairs. Monolayer transition metal dichalcogenides, such as MoS2, exhibit one of the highest known second-order nonlinear coefficients. However, the monolayer nature of these materials prevents the fabrication of resonant objects exclusively from the material itself, necessitating the use of external structures to achieve the optical enhancement of nonlinear processes. Here we exploit the 3R phase of a molybdenum disulfide multilayer for resonant nonlinear nanophotonics. The lack of inversion symmetry—even in the bulk of the material—provides a combination of massive second-order susceptibility, extremely high and anisotropic refractive index in the near-infrared region (n> 4.5) and low absorption losses, making 3R-MoS2highly attractive for nonlinear nanophotonics. We demonstrate this by fabricating 3R-MoS2nanodisks of various radii, which support resonant anapole states, and observing substantial (>100-fold) enhancement of second-harmonic generation in a single resonant nanodisk compared with an unpatterned flake of the same thickness. The enhancement is maximized at the spectral overlap between the anapole state of the disk and the material resonance of the second-order susceptibility. Our approach unveils a powerful tool for enhancing the entire spectrum of optical second-order nonlinear processes in nanostructured van der Waals materials, thereby paving the way for nonlinear and quantum high-index transition metal dichalcogenide nanophotonics.",2024
Corner- and edge-mode enhancement of near-field radiative heat transfer,https://www.nature.com/articles/s41586-024-07279-2,"It is well established that near-field radiative heat transfer (NFRHT) can exceed Planck’s blackbody limit1by orders of magnitude owing to the tunnelling of evanescent electromagnetic frustrated and surface modes2,3,4, as has been demonstrated experimentally for NFRHT between two large parallel surfaces5,6,7and between two subwavelength membranes8,9. However, although nanostructures can also sustain a much richer variety of localized electromagnetic modes at their corners and edges10,11, the contributions of such additional modes to further enhancing NFRHT remain unexplored. Here we demonstrate both theoretically and experimentally a physical mechanism of NFRHT mediated by the corner and edge modes, and show that it can dominate the NFRHT in the ‘dual nanoscale regime’ in which both the thickness of the emitter and receiver, and their gap spacing, are much smaller than the thermal photon wavelengths. For two coplanar 20-nm-thick silicon carbide membranes separated by a 100-nm vacuum gap, the NFRHT coefficient at room temperature is both predicted and measured to be 830 W m−2K−1, which is 5.5 times larger than that for two infinite silicon carbide surfaces separated by the same gap, and 1,400 times larger than the corresponding blackbody limit accounting for the geometric view factor between two coplanar membranes. This enhancement is dominated by the electromagnetic corner and edge modes, which account for 81% of the NFRHT between the silicon carbide membranes. These findings are important for future NFRHT applications in thermal management and energy conversion.",2024
On an electromagnetic calculation of ionospheric conductance that seems to override the field line integrated conductivity,https://www.nature.com/articles/s41598-024-58512-x,"The ionospheric conductance is the major quantity that determines the interaction of the magnetosphere with the ionosphere, where the magnetosphere is the large region of space affected by Earth’s geomagnetic field, and the ionosphere is its electrically conducting inner boundary, lying right on the edge of the atmosphere. Storms and substorms in space dissipate their energy through ionospheric currents, which heat the atmosphere and disrupt satellite orbits. The ionospheric conductance has, heretofore, been estimated using the staticized physics known as electrostatic theory, which finds that it can be computed by integrating the zero-frequency conductivity along the lines of Earth’s geomagnetic field. In this work we test this supposition by deriving an electromagnetic solution for collisional plasma, and applying it to obtain a first-ever fully-electromagnetic calculation of ionospheric conductance. We compare the results to the field line integrated conductivity, and find significant differences on all scales investigated. We find short-wavelength, mode-mixing, and wave-admittance effects that were completely unexpected. When this theoretical result is matched with recent observational findings for the scale of the magnetosphere-ionosphere coupling-interaction, there results a situation where small- to intermediate-scale effects really may contribute to global modeling of the Sun-Earth system.",2024
Electromagnetic near-field mutual coupling suppression with active Janus sources,https://www.nature.com/articles/s42005-024-01569-x,"Electric dipoles and magnetic dipoles are the most fundamental particles in electromagnetic theory. Huygens and Janus sources, formed by the orthogonal combination of electric and magnetic dipoles, both show good directionality in the near field. Although the Huygens source has been widely used in antennas and metasurfaces, the applications of Janus source are heretofore limited. In this paper we report the physical construction of an active Janus source. Through full-wave simulations within the parallel plate waveguide (PPW) environment, we show that our source achieves the directional electromagnetic near-field and quasi-isotropic far-field requisite of the Janus source. Using this fact, we demonstrate that two active Janus and Huygens sources in close proximity (about 0.10 to 0.25 wavelengths) achieve a near 1000-fold reduced mutual coupling compared to electric dipole sources. Particularly, the simultaneous achievement of strong mutual coupling suppression and quasi-isotropic radiation make the Janus source an ideal candidate for consideration in future compact multi-input multi-output (MIMO) communication systems.",2024
"Electromagnetic, atomic structure and chemistry changes induced by Ca-doping of low-angle YBa2Cu3O7–δgrain boundaries",https://www.nature.com/articles/nmat1394,"Practical high-temperature superconductors must be textured to minimize the reduction of the critical current densityJgbat misoriented grain boundaries. Partial substitution of Ca for Y in YBa2Cu3O7–δhas shown significant improvement inJgbbut the mechanisms are still not well understood. Here we report atomic-scale, structural and analytical electron microscopy combined with transport measurements on 7° [001]-tilt Y0.7Ca0.3Ba2Cu3O7–δand YBa2Cu3O7–δgrain boundaries, where the dislocation cores are well separated. We show that the enhanced carrier density, higherJgband weaker superconductivity depression at the Ca-doped boundary result from a strong, non-monotonic Ca segregation and structural rearrangements on a scale of∼1 nm near the dislocation cores. We propose a model of the formation of Ca2+solute atmospheres in the strain and electric fields of the grain boundary and show that Ca doping expands the dislocation cores yet enhancesJgbby improving the screening and local hole concentration.",2005
Electromagnetic Waves from Very Dense Stars,https://www.nature.com/articles/203914a0,"Giacconi, R., Gursky, H., Paolini, F. R., and Rossi, B. B.,Phys. Rev. Letters,9, 439 (1962).ArticleADSGoogle ScholarGiacconi, R., Gursky, H., Paolini, F. R., and Rossi, B. B.,Phys. Rev. Letters,11, 530 (1963).ArticleADSGoogle ScholarBower, S., Byram, E. T., Chubb, T. A., and Friedman, H. Paper presented at the one hundred and fifteenth meeting of the American Astronomical Society, Washington, D.C. (1963).Chiu, H. Y.,Supernovae, Neutrinos, and Neutron Stars(preprint from Princeton Institute for Space Studies, New York, 1963.)MATHGoogle ScholarMorton, D. C.,Neutron Stars as X-ray Sources(preprint from Princeton University Observatory, 1964).MATHGoogle ScholarOppenheimer, J. R., and Volkoff, G. M.,Phys. Rev.,55, 374 (1939).ArticleCASADSGoogle ScholarSaakyan, G. S.,Soviet A. J.,1, 60 (1963).ADSGoogle ScholarHoyle, F., and Fowler, W. A.,Astrophys.,132, 565 (1960).ArticleCASADSGoogle ScholarGinzburg, V. L.,Doklady Acad. Sci., U.S.S.R., No. 1, 156 (1964).Hoyle, F., Fowler, W. A., Burbidge, G. R., and Burbidge, E. M.,Astrophys. J.,139, 909 (1964).ArticleADSGoogle ScholarDownload references",1964
Electromagnetic reprogrammable coding-metasurface holograms,https://www.nature.com/articles/s41467-017-00164-9,"Metasurfaces have enabled a plethora of emerging functions within an ultrathin dimension, paving way towards flat and highly integrated photonic devices. Despite the rapid progress in this area, simultaneous realization of reconfigurability, high efficiency, and full control over the phase and amplitude of scattered light is posing a great challenge. Here, we try to tackle this challenge by introducing the concept of a reprogrammable hologram based on 1-bit coding metasurfaces. The state of each unit cell of the coding metasurface can be switched between ‘1’ and ‘0’ by electrically controlling the loaded diodes. Our proof-of-concept experiments show that multiple desired holographic images can be realized in real time with only a single coding metasurface. The proposed reprogrammable hologram may be a key in enabling future intelligent devices with reconfigurable and programmable functionalities that may lead to advances in a variety of applications such as microscopy, display, security, data storage, and information processing.",2017
Tailored compliant mechanisms for reconfigurable electromagnetic devices,https://www.nature.com/articles/s41467-023-36143-6,"Reconfigurable electromagnetic devices, specifically reconfigurable antennas, have shown to be integral to the future of communication systems. However, mechanically robust designs that can survive real-world, harsh environment applications and high-power conditions remain rare to this day. In this paper, the general framework for a field of both discrete and continuously mechanically reconfigurable devices is established by combining compliant mechanisms with electromagnetics. To exemplify this new concept, a reconfigurable compliant mechanism antenna is demonstrated which exhibits continuously tunable performance across a broad band of frequencies. Moreover, three additional examples are also introduced that further showcase the versatility and advanced capabilities of compliant mechanism enabled electromagnetic devices. Unlike previous approaches, this is achieved with minimal part counts, additive manufacturing techniques, and high reliability, which mechanical compliant mechanism devices are known for. The results presented exemplify how compliant mechanisms have the capacity to transform the broader field of reconfigurable electromagnetic devices.",2023
Comparison of pulsed and continuous electromagnetic field generated by WPT system on human dermal and neural cells,https://www.nature.com/articles/s41598-024-56051-z,"In recent decades, we have seen significant technical progress in the modern world, leading to the widespread use of telecommunications systems, electrical appliances, and wireless technologies. These devices generate electromagnetic radiation (EMR) and electromagnetic fields (EMF) most often in the extremely low frequency or radio-frequency range. Therefore, they were included in the group of environmental risk factors that affect the human body and health on a daily basis. In this study, we tested the effect of exposure EMF generated by a new prototype wireless charging system on four human cell lines (normal cell lines—HDFa, NHA; tumor cell lines—SH-SY5Y, T98G). We tested different operating parameters of the wireless power transfer (WPT) device (87–207 kHz, 1.01–1.05 kW, 1.3–1.7 mT) at different exposure times (pulsed 6 × 10 min; continuous 1 × 60 min). We observed the effect of EMF on cell morphology and cytoskeletal changes, cell viability and mitotic activity, cytotoxicity, genotoxicity, and oxidative stress. The results of our study did not show any negative effect of the generated EMF on either normal cells or tumor cell lines. However, in order to be able to estimate the risk, further population and epidemiological studies are needed, which would reveal the clinical consequences of EMF impact.",2024
An electromagnetic robot for navigating medical devices,https://www.nature.com/articles/s44222-024-00174-5,"The Navion, a clinical-scale electromagnetic navigation system, is the result of over 20 years of development. Its motivation began in 2003 with the goal of controlling the motion of magnetic microrobots; however, its first clinical use is proving to be for guiding magnetic catheters, guidewires and endoscopes.",2024
